smiles	molid
NC(Cc1ccccc1)C(=O)O	mol1
NC(Cc1ccc(O)cc1)C(=O)O	mol2
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O	mol3
NC(Cc1ccc(O)c(O)c1)C(=O)O	mol4
NC(Cc1c[nH]c2ccccc12)C(=O)O	mol5
O=C(O)c1nc(Cl)ccc1Cl	mol6
CC(C)CC(N)C(=O)O	mol7
CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1	mol8
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O	mol9
CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O	mol10
O=C(O)COc1ccc(Cl)cc1Cl	mol11
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	mol12
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O	mol13
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O[C@H]2OC(C(=O)O)[C@@H](O)[C@@H](O)C2O)C=C[C@H]3[C@H]1C5	mol14
Cc1cc(=O)oc2cc(C3OC(C(=O)O)C(O)C(O)C3O)ccc12	mol15
CN1CC[C@]23c4c5ccc(O[C@H]6OC(C(=O)O)[C@@H](O)[C@@H](O)C6O)c4O[C@@H]2[C@H](O)C=C[C@H]3[C@H]1C5	mol16
O=C(O)c1ccccc1O	mol17
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	mol18
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	mol19
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O	mol20
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O	mol21
Cc1cc(Cl)ccc1O[C@H](C)C(=O)O	mol22
NCC(=O)NCC(=O)NCC(=O)O	mol23
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O	mol24
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O	mol25
NCC(=O)NCC(=O)NCC(=O)NCC(=O)O	mol26
CC(=O)Oc1ccccc1C(=O)O	mol27
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	mol28
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1	mol29
Cc1cnc2c(C(=O)O)c(Cl)ccc2c1	mol30
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	mol31
O=C(O)c1ccccc1	mol32
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	mol33
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1	mol34
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1	mol35
O=C(O)c1ccc2ccccc2c1	mol36
COc1ccc2cc(C(C)C(=O)O)ccc2c1	mol37
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21	mol38
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	mol39
CC(C)Cc1ccc(C(C)C(=O)O)cc1	mol40
CC(=O)O	mol41
O=C(O)CCCCc1ccccc1	mol42
CCCCC[C@H](O)/C=C/[C@H]1[C@H](C/C=C/CCCC(=O)O)C(=O)C[C@@H]1O	mol43
CCCCC[C@H](O)/C=C/[C@H]1[C@H](CCCCCCC(=O)O)C(=O)C[C@@H]1O	mol44
NC1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12	mol45
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21	mol46
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	mol47
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	mol48
CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23	mol49
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12	mol50
CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1	mol51
C#CCN(C)[C@H](C)Cc1ccc(F)cc1	mol52
C#CCN(C)[C@H](C)Cc1ccccc1	mol53
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(=O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O	mol54
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1	mol55
CO[C@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O[C@@H](O)CC(C)C)[C@H](C)O3)[C@@H](N(C)C)[C@H]2O)[C@@H](CCO)C[C@@H](C)[C@H](O)CC[C@@H]2O[C@H]2C[C@@H](C)O[C@@H](O)C[C@H]1O[C@H](C)O	mol56
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1CC	mol57
